Family_Genus_Species,Type
Ilumatobacteraceae_CL500-29_marine_group_NA,GEN
Sporichthyaceae_hgcI_clade_NA,GEN
Clade_III_NA_NA,GEN
Chthoniobacteraceae_LD29_NA,GEN
Burkholderiaceae_Polynucleobacter_NA,GEN
Gemmataceae_NA_NA,GEN
MWH-UniP1_aquatic_group_NA_NA,GEN
Chitinophagaceae_Terrimonas_NA,GEN
Rickettsiaceae_Candidatus_Megaira_NA,GEN
Aeromonadaceae_Aeromonas_salmonicida,GEN
env_OPS_17_NA_NA,GEN
Neisseriaceae_NA_NA,GEN
Pedosphaeraceae_NA_NA,GEN
Saprospiraceae_Candidatus_Aquirestis_NA,GEN
Pirellulaceae_Rhodopirellula_NA,GEN
Terrimicrobiaceae_Terrimicrobium_NA,GEN
Legionellaceae_NA_NA,GEN
Armatimonadaceae_Armatimonas_NA,GEN
Beijerinckiaceae_alphaI_cluster_NA,GEN
B1-7BS_NA_NA,GEN
Opitutaceae_Opitutus_NA,GEN
Acetobacteraceae_Roseomonas_NA,NF
Nostocaceae_Nodularia_PCC-9350_NA,NF
Nostocaceae_Cylindrospermopsis_CRJ1_raciborskii,NF
Comamonadaceae_Azohydromonas_NA,NF
Nitrosomonadaceae_oc32_NA,AO
Nitrosomonadaceae_MND1_NA,AO
Nitrosomonadaceae_DSSD61_NA,AO
Nitrosomonadaceae_NA_NA,AO
Nitrosomonadaceae_966-1_NA,AO
Desulfocapsaceae_Desulfobacterium_catecholicum_group_NA,SR
Desulfobulbaceae_Desulfobulbus_NA,SR
Desulforegulaceae_Desulforegula_conservatrix,SR
Desulfosarcinaceae_Desulfatirhabdium_NA,SR
Desulfobacteraceae_Desulfobacula_NA,SR
Methylococcaceae_Methyloparacoccus_NA,ME
Methylococcaceae_Methylomagnum_NA,ME
Methylomonadaceae_Methylomonas_NA,ME
Methylomonadaceae_NA_NA,ME
Methylomonadaceae_Methylosarcina_NA,ME
Methylophilaceae_Candidatus_Methylopumilus_NA,MY
Methylophilaceae_NA_NA,MY
Methylophilaceae_MM1_NA,MY
Methylophilaceae_MM2_NA,MY
